Judul,Label
kedzoliman rezim kuak,1
nyata sandiaga salahuddin uno punya gelar professor pakai,1
klarifikasi tnipolri tuding laku sandera rombong tim evakuasi manusia pemda nduga,0
foto istana bogor bayar rp 15 ribu,1
program pinjam dana pt pnm persero,1
sri mulyani terima gaji guru tetap capek ajar malah honorer,1
koalisi pki p,1
bmkg papua klarifikasi isu jadi tsunami papua,0
the jakmania suporter semen padang dukung jokowimaruf amin pilpres 2019,1
hoax berita sesuai penting kuasa,1
kerja lokal tambang nikel shalat jumat usaha china,1
kpk laku ott pontianak kalimantan barat,0
ketua kpu arief budiman pilih suara kecil,1
cnn indonesia bank dunia aku lapor infrastruktur jokowi final,0
jadi aksi bunuh diri kawasan sukoharjo,1
potensi gelombang tsunami tapanuli sumatera utara,1
kominfo blokir game online,1
ustaz arifin ilham obat malaysia naik jet pribadi milik prabowo,1
ayo ralat bijak,1
panglima tni salam jari biar cebong bunuh diri,1
heboh hari putihkansolo,1
cek fakta pidato bangsa prabowo subianto,0
pegang flyer nama pujiastuti hastasiwi,1
kapal tenggelam danau toba,1
teman satu kelas satu angkat kuliah fakultas hutan ugm beri testimoni jokowi,1
usai pidato bangsa hasil survei prabowo sandi 678,1
foto anak perempuan kabar hilang sekarang ada polsek citeureup bogor,1
sebar diam,1
udeh kronis ame 2jari,1
prabowo ogah tes baca al quran pilih pesta wine joget hurahura,1
megawati minta jokowi pecat anggota tni razia buku bau komunis,1
kira tandatanda,1
jadi antek jongos budak asing siapa,1
pesan akhir orang miliarder nama steve gouves,1
muncul pesan beranta jadi perang susul ambon vs lsm merah putih pihak polisi nyata kondisi lapang kondusif,0
puji pidato prabowo erdogan soekarno baru muncul indonesia,1
artikel sangat harga aku jujur jusuf kalla juang moral jokowi,1
surat undang workshop dukung jabat fungsional rencana workshop pakapak,1
tulis lafadz allah tisu toilet,1
klarifikasi bkn kait surat optimalisasi penuh butuh pns bkn,1
jokowi bilang pki salah ancam,1
kapten leo sianturi telantar rumah sakit tni,1
jokowi kerja sama beberapa bank guna dana nasabah proyek besar,1
keluarga gusdur dukung penuh calon president 01,1
jelas kait edar foto kartu emoney prabowosandi,0
rizal ramli ri hutang yield 11625 4 maret 2019,1
poster habib rizieq shihab tarik dukung prabowo,1
temu mayat ambang duduksampeyan gresik,1
psi buat pasang spanduk tulis harga hak hak lgbt,1
pesan beranta lazada grand prize hadiah ratus juta rupiah,1
ada teroris minut sulawesi utara,1
salam dari maher zain,1
polisi mulai intimidasi warga infoakurat,1
paham politik gak sih pak,1
bukti prabowo sama cucu pki,1
stroke kambuh prabowo batal orasi politik acara fraksi pks,1
duga bangun pakai material kw 3 china,1
alas din syamsuddin mundur utus khusus presiden,1
koran inggris,1
foto spanduk optimis pak jokowi tak bohong ingkar janji,1
tangkap layar artikel web kpu retas temu kejut jokowi angkat isu pki,1
klarifikasi ridwan kamil kait tuding main kaki,0
buat sim tes 29 februari 2019,1
bocor informasi penting valid pola curang sistem hitung suara kpu modus nomor 01 02,1
hadiah sepeda buat mu nak,1
ustaz abdul somad acung jari 1 dukung jokowi,1
laku bakar beberapa mobil daerah jawa tengah tangkap,1
pawai sambut pak prabowo bandung,1
pulau batam anggap wilayah luar negeri,1
jadi aksi begal wilayah limunjan rau,1
klarifikasi tani kulonprogo semprot mati lahan cabai,0
surat panggil proses terima kerja pt pelni,1
pln bantah informasi tenggat bayar listrik maju tanggal 5 bulan,0
ali mochtar ngabalin serang stroke doa sendiri,1
jelas kait informasi mobil stiker prabowosandi masuk kebun raya bogor,0
santriwati ponpes alfattah temboro dukung prabowo sandi,1
kuaci rebus tulang babi,1
video habib rizieq joged sama tari perut,1
nama jokowi masuk daftar klien konsultan asing stanley greenberg,1
alinka humaira nurhanzah cucu ibu hj kesah barusan culik,1
waspada indikasi nyata pki mulai bangkit,1
jelas kait nyata prabowo soal impor air debat capres,0
dapat obat bius daun teh tiek kwan im,1
prabowo guna kacamata google glass contek jawab debat pilpres dua,1
tiket promo kereta api hut bumn 21,1
whatsapp kumpul dana kali gambar bagi,1
