Judul,Label
“kedzoliman rezim pasti terkuak”,HOAX
“Ternyata Sandiaga Salahuddin Uno ( SANDI ) Punya Gelar Professor tetapi tidak dipakainya”,HOAX
Klarifikasi TNI-Polri Terhadap Tudingan Melakukan Penyanderaan Rombongan Tim Evakuasi Kemanusiaan dan Pemda Nduga,BENAR
"Foto di Istana Bogor, Bayar Rp. 15 ribu",HOAX
Program Pinjaman Dana Oleh PT PNM (Persero),HOAX
"“SRI MULYANI: YANG TERIMA GAJI GURU TETAP, YANG CAPEK MENGAJAR MALAH HONORER”",HOAX
Koalisi PKI – P,HOAX
BMKG Papua Mengklarifikasi Isu Akan Terjadi Tsunami di Papua,BENAR
The Jakmania dan Suporter Semen Padang Dukung Jokowi-Ma’ruf Amin Dalam Pilpres 2019,HOAX
Hoax adalah Berita yang Tidak Sesuai dengan Kepentingan Penguasa,HOAX
Pekerja Lokal Tambang Nikel Tidak Boleh SHalat Jumat Oleh Perusahaan China.,HOAX
"KPK Tidak Melakukan OTT di Pontianak, Kalimantan Barat",BENAR
"Ketua KPU, Arief Budiman Terpilih Walau Suara Terkecil",HOAX
CNN Indonesia: “Bank Dunia Akui Laporan Infrastruktur Jokowi Belum Final”,BENAR
TERJADI AKSI BUNUH DIRI DI KAWASAN SUKOHARJO,HOAX
Potensi Gelombang Tsunami di Tapanuli Sumatera Utara,HOAX
Kominfo Akan Blokir Game Online,HOAX
Ustaz Arifin Ilham Berobat Ke Malaysia Naik Jet Pribadi Milik Prabowo,HOAX
“Ayo diralat lagi Kebijakannya”,HOAX
“Panglima TNI salam dua jari biarkan cebong bunuh diri”,HOAX
“Lagi heboh hari ini #putihkansolo”,HOAX
Cek Fakta Pidato Kebangsaan Prabowo Subianto,BENAR
Pemegang Flyer Bernama Pujiastuti Hastasiwi,HOAX
Kapal Tenggelam di Danau Toba,HOAX
Tidak Ada Teman Satu Kelas atau Satu Angkatan Kuliah di Fakultas Kehutanan UGM yang Memberikan Testimoni tentang Jokowi,HOAX
"Usai Pidato Kebangsaan, Hasil Survei Prabowo – Sandi 67,8%",HOAX
Foto Anak Perempuan yang Dikabarkan Hilang Sekarang Sudah Berada di Polsek Citeureup Bogor,HOAX
“Sudah menyebar didiamkan pula”,HOAX
“udeh kronis amat ame 2JARI”,HOAX
“Prabowo Ogah Tes Baca Al Quran Tapi Pilih Pesta Wine Joget Hura-hura?”,HOAX
MEGAWATI MINTA JOKOWI PECAT ANGGOTA TNI YANG MERAZIA BUKU BERBAU KOMUNIS.,HOAX
“Saya kira ini tanda-tanda”,HOAX
“Jadi yang Antek Jongos dan Budak Asing itu siapa?”,HOAX
Pesan Terakhir Seorang Miliarder Bernama Steve Gouves,HOAX
"MUNCUL PESAN BERANTAI AKAN TERJADI PERANG SUSULAN AMBON VS LSM MERAH PUTIH, PIHAK KEPOLISIAN NYATAKAN KONDISI LAPANGAN KONDUSIF",BENAR
"PUJI PIDATO PRABOWO, ERDOGAN : SOEKARNO BARU AKAN MUNCUL DI INDONESIA",HOAX
